Mes,Dia,Ano,Datos
12,1,1953,13.5
12,2,1953,9.5
12,3,1953,11.5
12,4,1953,9.25
12,5,1953,9.75
12,6,1953,9.25
12,7,1953,6.5
12,8,1953,10
12,9,1953,15
12,10,1953,13.5
12,11,1953,10.5
12,12,1953,11.5
12,13,1953,10.5
12,14,1953,12
12,15,1953,14
12,16,1953,12.5
12,17,1953,11
12,18,1953,8.5
12,19,1953,3.5
12,20,1953,8
12,21,1953,8.5
12,22,1953,10
12,23,1953,9.5
12,24,1953,12
12,25,1953,12.5
12,26,1953,12.5
12,27,1953,3
12,28,1953,0
12,29,1953,0.5
12,30,1953,1.5
12,31,1953,2
1,1,1954,8
1,2,1954,7
1,3,1954,6.5
1,4,1954,12.5
1,5,1954,6
1,6,1954,16
1,7,1954,15.5
1,8,1954,5
1,9,1954,12
1,10,1954,10.5
1,11,1954,5.5
1,12,1954,2.75
1,13,1954,3
1,14,1954,2.75
1,15,1954,3.5
1,16,1954,6.25
1,17,1954,10.5
1,18,1954,9.75
1,19,1954,6.75
1,20,1954,10.5
1,21,1954,7.5
1,22,1954,10
1,23,1954,9.5
1,24,1954,11.25
1,25,1954,9
1,26,1954,9
1,27,1954,11.5
1,28,1954,13.5
1,29,1954,11.25
1,30,1954,12.25
1,31,1954,12.5
2,1,1954,12.25
2,2,1954,16.75
2,3,1954,19.25
2,4,1954,15.25
2,5,1954,15
2,6,1954,14.25
2,7,1954,19
2,8,1954,18.75
2,9,1954,12.5
2,10,1954,14.5
2,11,1954,14.5
2,12,1954,16
2,13,1954,14
2,14,1954,11.5
2,15,1954,7.75
2,16,1954,9.75
2,17,1954,13.5
2,18,1954,14
2,19,1954,14
2,20,1954,14.25
2,21,1954,15.5
2,22,1954,13.5
2,23,1954,15.25
2,24,1954,21.5
2,25,1954,15.75
2,26,1954,15
2,27,1954,14
2,28,1954,17
3,1,1954,12.25
3,2,1954,14
3,3,1954,13.25
3,4,1954,14.25
3,5,1954,12.75
3,6,1954,12
3,7,1954,12
3,8,1954,14.75
3,9,1954,18.75
3,10,1954,18.5
3,11,1954,12.5
3,12,1954,9.25
3,13,1954,10.5
3,14,1954,9.5
3,15,1954,14.25
3,16,1954,10.75
3,17,1954,10.75
3,18,1954,9.5
3,19,1954,9
3,20,1954,12.5
3,21,1954,14
3,22,1954,12.5
3,23,1954,10.75
3,24,1954,7.75
3,25,1954,9.25
3,26,1954,9.75
3,27,1954,14.75
3,28,1954,12.75
3,29,1954,10.75
3,30,1954,14.5
3,31,1954,15.75
4,1,1954,12.5
4,2,1954,14.5
4,3,1954,14.75
4,4,1954,17
4,5,1954,22.25
4,6,1954,18.25
4,7,1954,18
4,8,1954,16
4,9,1954,18.5
4,10,1954,16
4,11,1954,16.25
4,12,1954,16
4,13,1954,15.25
4,14,1954,14.75
4,15,1954,19.5
4,16,1954,20
4,17,1954,21
4,18,1954,21.5
4,19,1954,22.5
4,20,1954,16.25
4,21,1954,17
4,22,1954,17
4,23,1954,14.75
4,24,1954,12.25
4,25,1954,14.25
4,26,1954,15
4,27,1954,14.5
4,28,1954,16.25
4,29,1954,14.75
4,30,1954,11
5,1,1954,13.5
5,2,1954,12.5
5,3,1954,20.25
5,4,1954,14
5,5,1954,20.5
5,6,1954,19.5
5,7,1954,20
5,8,1954,17.5
5,9,1954,18
5,10,1954,16.25
5,11,1954,18.5
5,12,1954,18.25
5,13,1954,16.5
5,14,1954,15.75
5,15,1954,14.75
5,16,1954,14.5
5,17,1954,17
5,18,1954,19
5,19,1954,19.75
5,20,1954,20.25
5,21,1954,18
5,22,1954,17.25
5,23,1954,17.5
5,24,1954,18.5
5,25,1954,15.75
5,26,1954,15
5,27,1954,15.25
5,28,1954,14
5,29,1954,14
5,30,1954,16.25
5,31,1954,15.75
6,1,1954,18
6,2,1954,19
6,3,1954,18.25
6,4,1954,18.25
6,5,1954,17.25
6,6,1954,15.5
6,7,1954,17
6,8,1954,19.5
6,9,1954,18.5
6,10,1954,15
6,11,1954,15
6,12,1954,16.5
6,13,1954,16.5
6,14,1954,17.25
6,15,1954,18
6,16,1954,18.75
6,17,1954,22.25
6,18,1954,24
6,19,1954,25
6,20,1954,22
6,21,1954,26.5
6,22,1954,22.75
6,23,1954,26.5
6,24,1954,25.5
6,25,1954,24
6,26,1954,21.75
6,27,1954,23.25
6,28,1954,25.75
6,29,1954,25
6,30,1954,27.75
7,1,1954,27.25
7,2,1954,26.25
7,3,1954,27.5
7,4,1954,30.75
7,5,1954,31
7,6,1954,31
7,7,1954,27.75
7,8,1954,26
7,9,1954,24.75
7,10,1954,25.5
7,11,1954,27
7,12,1954,26.25
7,13,1954,26.75
7,14,1954,27
7,15,1954,30.25
7,16,1954,22.25
7,17,1954,30
7,18,1954,25.5
7,19,1954,23.5
7,20,1954,21.25
7,21,1954,21
7,22,1954,22.5
7,23,1954,25
7,24,1954,25
7,25,1954,25
7,26,1954,26.5
7,27,1954,26.5
7,28,1954,31.25
7,29,1954,29.25
7,30,1954,29.25
7,31,1954,28
8,1,1954,25.5
8,2,1954,25.75
8,3,1954,24
8,4,1954,21.25
8,5,1954,21.5
8,6,1954,23.75
8,7,1954,25.5
8,8,1954,25.5
8,9,1954,26.25
8,10,1954,26
8,11,1954,26
8,12,1954,23.25
8,13,1954,23.5
8,14,1954,24.5
8,15,1954,24.25
8,16,1954,25.5
8,17,1954,25.5
8,18,1954,25.5
8,19,1954,26.5
8,20,1954,23.25
8,21,1954,21.75
8,22,1954,20
8,23,1954,20
8,24,1954,22.25
8,25,1954,24
8,26,1954,20.5
8,27,1954,23
8,28,1954,23.25
8,29,1954,24
8,30,1954,25.75
8,31,1954,27.5
9,1,1954,25.25
9,2,1954,27
9,3,1954,26.75
9,4,1954,26.5
9,5,1954,26.25
9,6,1954,26.75
9,7,1954,25.5
9,8,1954,25.75
9,9,1954,27.5
9,10,1954,29
9,11,1954,28.75
9,12,1954,26.75
9,13,1954,25
9,14,1954,28.5
9,15,1954,25.75
9,16,1954,27.75
9,17,1954,24.75
9,18,1954,27.75
9,19,1954,26.75
9,20,1954,26.25
9,21,1954,27.25
9,22,1954,26.5
9,23,1954,24.75
9,24,1954,24.5
9,25,1954,25.5
9,26,1954,25.75
9,27,1954,24
9,28,1954,24.25
9,29,1954,23.5
9,30,1954,22.25
10,1,1954,18.25
10,2,1954,16.75
10,3,1954,17.25
10,4,1954,17
10,5,1954,17
10,6,1954,19
10,7,1954,22.25
10,8,1954,24.5
10,9,1954,25
10,10,1954,23.75
10,11,1954,20.25
10,12,1954,19.25
10,13,1954,19.5
10,14,1954,19.5
10,15,1954,19.75
10,16,1954,19.75
10,17,1954,23.75
10,18,1954,21.25
10,19,1954,21.25
10,20,1954,20.75
10,21,1954,21.25
10,22,1954,21.5
10,23,1954,23.75
10,24,1954,16
10,25,1954,11.8
10,26,1954,11.75
10,27,1954,16.75
10,28,1954,18.5
10,29,1954,14.5
10,30,1954,16.5
10,31,1954,16.25
11,1,1954,13.75
11,2,1954,14.5
11,3,1954,14
11,4,1954,12.75
11,5,1954,17.75
11,6,1954,13.5
11,7,1954,12.55
11,8,1954,13.5
11,9,1954,13.75
11,10,1954,18.75
11,11,1954,17.75
11,12,1954,16.5
11,13,1954,13.5
11,14,1954,17
11,15,1954,11.75
11,16,1954,16
11,17,1954,17
11,18,1954,12.25
11,19,1954,14.75
11,20,1954,14.75
11,21,1954,13.75
11,22,1954,11.75
11,23,1954,16.5
11,24,1954,15.5
11,25,1954,15.8
11,26,1954,13
11,27,1954,15.5
11,28,1954,15.75
11,29,1954,11.25
11,30,1954,17.25
12,1,1954,10.5
12,2,1954,15.5
12,3,1954,16
12,4,1954,15.75
12,5,1954,15
12,6,1954,14.75
12,7,1954,15.5
12,8,1954,10.5
12,9,1954,13.5
12,10,1954,12.5
12,11,1954,7.15
12,12,1954,11.75
12,13,1954,9.5
12,14,1954,8.75
12,15,1954,13
12,16,1954,14.75
12,17,1954,12.75
12,18,1954,12.5
12,19,1954,13.25
12,20,1954,15.75
12,21,1954,16.25
12,22,1954,14.75
12,23,1954,10.2
12,24,1954,9
12,25,1954,10.2
12,26,1954,9.25
12,27,1954,3.75
12,28,1954,6.25
12,29,1954,7
12,30,1954,6.5
12,31,1954,2.5
1,1,1955,12
1,2,1955,10.5
1,3,1955,8.25
1,4,1955,6.5
1,5,1955,6.4
1,6,1955,6.1
1,7,1955,3.9
1,8,1955,5.25
1,9,1955,6.5
1,10,1955,5.6
1,11,1955,7
1,12,1955,7
1,13,1955,7.5
1,14,1955,5
1,15,1955,7.5
1,16,1955,8
1,17,1955,8.75
1,18,1955,7.1
1,19,1955,7
1,20,1955,7.05
1,21,1955,5.65
1,22,1955,5.75
1,23,1955,9
1,24,1955,13.25
1,25,1955,8.5
1,26,1955,11.75
