Id:,30017
Estación:,BOCA DE SOCHIAPA-VER
Posición:,19.1919444444N -96.9488888889W
Variable:,Temp Promedio (oC)
Fecha Inicial:,01/01/1954
Fecha Final:,07/01/1980
No Dato:,nan
Mes,Día,Anio,Datos
01,01,1954,20.5
01,02,1954,21.5
01,03,1954,22.5
01,04,1954,24.0
01,05,1954,22.5
01,06,1954,20.25
01,07,1954,20.5
01,08,1954,21.0
01,09,1954,21.75
01,10,1954,23.0
01,11,1954,19.5
01,12,1954,18.25
01,13,1954,19.5
01,14,1954,21.0
01,15,1954,22.5
01,16,1954,22.75
01,17,1954,19.5
01,18,1954,21.25
01,19,1954,23.25
01,20,1954,24.75
01,21,1954,22.5
01,22,1954,22.0
01,23,1954,22.0
01,24,1954,22.25
01,25,1954,24.0
01,26,1954,22.75
01,27,1954,24.0
01,28,1954,22.25
01,29,1954,19.25
01,30,1954,20.25
01,31,1954,21.5
02,01,1954,22.1
02,02,1954,23.75
02,03,1954,22.0
02,04,1954,21.6
02,05,1954,20.1
02,06,1954,20.25
02,07,1954,19.6
02,08,1954,18.85
02,09,1954,18.5
02,10,1954,22.6
02,11,1954,21.5
02,12,1954,21.5
02,13,1954,20.5
02,14,1954,19.6
02,15,1954,18.75
02,16,1954,21.5
02,17,1954,19.75
02,18,1954,19.25
02,19,1954,18.35
02,20,1954,22.85
02,21,1954,20.25
02,22,1954,21.25
02,23,1954,21.5
02,24,1954,20.85
02,25,1954,22.25
02,26,1954,19.25
02,27,1954,18.35
02,28,1954,21.75
03,01,1954,18.25
03,02,1954,18.0
03,03,1954,21.0
03,04,1954,19.25
03,05,1954,21.75
03,06,1954,19.75
03,07,1954,16.25
03,08,1954,17.75
03,09,1954,19.5
03,10,1954,19.7
03,11,1954,21.6
03,12,1954,20.5
03,13,1954,20.5
03,14,1954,20.0
03,15,1954,16.0
03,16,1954,18.75
03,17,1954,21.0
03,18,1954,23.5
03,19,1954,18.5
03,20,1954,17.0
03,21,1954,16.0
03,22,1954,19.1
03,23,1954,16.75
03,24,1954,15.5
03,25,1954,21.5
03,26,1954,15.25
03,27,1954,20.75
03,28,1954,17.25
03,29,1954,16.0
03,30,1954,20.0
03,31,1954,21.25
04,01,1954,20.9
04,02,1954,22.0
04,03,1954,20.6
04,04,1954,20.0
04,05,1954,20.0
04,06,1954,20.0
04,07,1954,20.0
04,08,1954,22.75
04,09,1954,21.0
04,10,1954,19.75
04,11,1954,21.5
04,12,1954,22.5
04,13,1954,20.0
04,14,1954,21.5
04,15,1954,21.0
04,16,1954,19.0
04,17,1954,21.5
04,18,1954,21.35
04,19,1954,18.75
04,20,1954,20.5
04,21,1954,20.0
04,22,1954,19.0
04,23,1954,20.75
04,24,1954,20.25
04,25,1954,22.75
04,26,1954,22.5
04,27,1954,20.6
04,28,1954,22.25
04,29,1954,21.25
04,30,1954,21.0
05,01,1954,19.0
05,02,1954,20.1
05,03,1954,21.1
05,04,1954,22.25
05,05,1954,20.85
05,06,1954,21.6
05,07,1954,21.85
05,08,1954,21.6
05,09,1954,22.25
05,10,1954,22.0
05,11,1954,20.25
05,12,1954,18.75
05,13,1954,20.5
05,14,1954,19.75
05,15,1954,18.75
05,16,1954,18.75
05,17,1954,18.65
05,18,1954,23.5
05,19,1954,22.0
05,20,1954,19.25
05,21,1954,22.5
05,22,1954,19.5
05,23,1954,19.25
05,24,1954,22.0
05,25,1954,20.25
05,26,1954,21.25
05,27,1954,19.75
05,28,1954,19.75
05,29,1954,19.6
05,30,1954,21.5
05,31,1954,20.6
06,01,1954,18.5
06,02,1954,20.6
06,03,1954,21.1
06,04,1954,21.6
06,05,1954,20.85
06,06,1954,21.5
06,07,1954,21.85
06,08,1954,21.35
06,09,1954,19.25
06,10,1954,22.0
06,11,1954,22.85
06,12,1954,19.5
06,13,1954,19.1
06,14,1954,20.6
06,15,1954,22.25
06,16,1954,22.1
06,17,1954,19.0
06,18,1954,20.25
06,19,1954,19.75
06,20,1954,19.75
06,21,1954,20.5
06,22,1954,19.75
06,23,1954,20.25
06,24,1954,21.1
06,25,1954,21.75
06,26,1954,21.5
06,27,1954,20.25
06,28,1954,20.35
06,29,1954,20.25
06,30,1954,21.5
07,01,1954,21.0
07,02,1954,19.75
07,03,1954,20.1
07,04,1954,21.75
07,05,1954,21.35
07,06,1954,20.0
07,07,1954,22.25
07,08,1954,20.25
07,09,1954,22.25
07,10,1954,20.5
07,11,1954,20.5
07,12,1954,21.25
07,13,1954,21.5
07,14,1954,21.0
07,15,1954,20.25
07,16,1954,20.75
07,17,1954,21.25
07,18,1954,19.75
07,19,1954,21.5
07,20,1954,20.5
